,title,releaseyear,idx,count,avg,std
0,MASH: Season 1,1972,0,8022,4.120294190974819,1.0688651520431465
1,Apollo 11: Men on the Moon,2003,8022,250,2.728,1.1721842858526983
2,Fear X,2003,8272,439,2.214123006833713,0.9987149343916091
3,Robin Hood,1991,8711,727,3.0660247592847316,0.9151264459306832
4,The Legend of Black Heaven,1999,9438,226,3.0973451327433628,1.2998611346520692
5,The Back Lot Murders,2001,9664,89,1.9325842696629214,0.9093491042830699
6,Spider-Man vs. Doc Ock,2004,9753,1003,3.534396809571286,1.1963567618252906
7,Mirror Mirror,1990,10756,101,2.5643564356435644,1.1117361463459958
8,The Flight of the Phoenix,2004,10857,39031,3.3878199379980014,0.9250923713513035
9,The Brady Bunch Variety Hour,1977,49888,216,2.4583333333333335,1.3010412496663328
10,Resurrection Blvd.: Season 1,2000,50104,171,3.245614035087719,1.438168528555733
11,Hooked,2003,50275,159,3.3459119496855347,1.1214737685879193
12,The Trail to Hope Rose,2004,50434,160,3.08125,1.156351346909753
13,WWE: Survivor Series 2002,2002,50594,143,3.8531468531468533,1.2898638837389058
14,Groucho Marx: You Bet Your Life: The Best Episodes,1955,50737,261,3.1762452107279695,1.151199142101797
15,Passport to Paris,1999,50998,2848,3.2036516853932584,1.2372782434483534
16,Ryan Adams: Live in Jamaica: Music in High Places,2002,53846,136,2.9779411764705883,1.3365171582089215
17,Mary Shelley's Frankenstein,1994,53982,7205,3.208327550312283,1.0211028278326375
18,Angela,1995,61187,209,2.6555023923444976,1.2358213514394798
19,Noam Chomsky: Distorted Morality: America's War on Terror?,2002,61396,892,3.7488789237668163,1.0713078628060435
20,The Big Combo,1954,62288,268,3.3022388059701493,1.0694514159284705
21,Dead Ringers,1988,62556,2686,3.4058078927773643,1.1016249753552185
22,I'm Still Here . . . Damn It!,1999,65242,253,3.0316205533596836,1.2506868240729072
23,Kavanagh Q.C.: Set 1,1995,65495,167,3.4730538922155687,1.2564295541893862
24,Red Cherry,1995,65662,402,3.2487562189054726,1.0802666638144895
25,Next of Kin,1989,66064,6817,3.1654686812380812,1.0463338995010345
26,Before Sunset,2004,72881,31462,3.270135401436654,1.2555783508832075
27,Megadeth: VH1 Behind the Music: Extended Version,2001,104343,163,3.766871165644172,1.1959571577941284
28,Star Trek: Deep Space Nine: Season 3,1994,104506,4615,3.952329360780065,1.2062955533135369
29,Bio Zombie,1998,109121,436,3.0871559633027523,1.1678884668872676
30,100 Years of the New York Yankees,2003,109557,194,3.7268041237113403,1.396831131187718
31,Diff'rent Strokes: Season 1,1978,109751,658,3.5440729483282674,1.1883565600557258
32,Virtual Encounters,1995,110409,46,2.5217391304347827,1.0578717443996903
33,Winnie the Pooh: Springtime with Roo,2004,110455,2190,3.7680365296803653,1.009580263856156
34,Ravenous,1999,112645,4069,3.251167362988449,1.1086588040625764
35,The Twilight Zone: Vol. 2,1963,116714,4767,3.9125235997482695,1.0233811953148577
36,Trading Spaces: They Hated It!,2000,121481,829,2.7056694813027744,1.1717335077027686
37,Upright Citizens Brigade: Season 1,1998,122310,1497,3.779559118236473,1.2489820862802858
38,Tai-Pan,1986,123807,157,3.038216560509554,1.193855555274384
39,Afterglow,1997,123964,1083,2.9796860572483843,0.9412831330304756
40,Immortal Beloved,1994,125047,10722,3.7843685879500093,0.9463041419812124
41,Suspicious River,2000,135769,182,2.478021978021978,1.0147594526633954
42,The More the Merrier,1943,135951,379,3.6517150395778364,1.0299299169541274
43,Chris Rock: Bigger & Blacker,1999,136330,15096,3.9248145204027556,1.0036256636572882
44,The New Adventures of Pippi Longstocking,1988,151426,1385,3.0801444043321298,1.2237434345432958
45,Fighter Pilot: Operation Red Flag,2005,152811,58,3.3620689655172415,1.170002591539555
46,Raja Hindustani,1996,152869,216,2.9722222222222223,1.1976700631838946
47,Without Conscience,2004,153085,62,2.7419354838709675,1.0462757896920551
48,George Carlin: Complaints and Grievances,2001,153147,2570,3.909727626459144,1.0653832925543274
49,Envy,2004,155717,26602,2.721411923915495,1.0351027135274926
50,The Off Season,2004,182319,244,1.7131147540983607,0.918654648864674
51,Batman Returns,1992,182563,32960,3.440351941747573,0.9400528659070791
52,1969,1988,215523,1094,2.776965265082267,0.9961440854679928
53,The Canterville Ghost,1985,216617,239,2.8535564853556483,1.0974952025465767
54,The Gates of Jerusalem,2003,216856,206,3.3398058252427183,1.1282205084531223
55,The Bible Collection: Moses,1996,217062,193,3.4145077720207255,1.2649917123534902
56,"Samurai X: Trust and Betrayal, Director's Cut",1999,217255,3799,4.187680968675967,1.0993289811639957
57,Monsieur Verdoux,1947,221054,293,3.7474402730375425,1.0073290812003828
58,The Killers: Criterion Collection,1946,221347,1319,3.7528430629264595,0.9575631024420651
59,Sometimes They Come Back / Sometimes They Come Back Again,1991,222666,1242,3.243156199677939,1.1259516739447513
60,Anne Frank: The Whole Story,2001,223908,3572,3.896976483762598,0.9787906680692221
61,Allegro Non Troppo,1977,227480,84,3.4761904761904763,1.2675077765910634
62,Manhood,2003,227564,229,2.4192139737991267,0.9616113172141083
63,Bowling for Columbine,2002,227793,90387,3.784559726509343,1.2021023122304726
64,The Crucible,1996,318180,930,3.350537634408602,0.9050187018698502
65,John Denver: A Portrait,1994,319110,240,3.095833333333333,1.2362507723848841
66,The Delicate Delinquent,1957,319350,167,3.281437125748503,1.1729803769073472
67,UFC 47: Ultimate Fighting Championship: It's On!,2004,319517,1575,4.013333333333334,1.1543485760032084
68,Jay and Silent Bob Strike Back,2001,321092,44761,3.3742096914724873,1.184240661243315
69,To the Extreme,2005,365853,532,2.488721804511278,1.0592701512996285
70,Fuzz,1972,366385,166,2.4156626506024095,0.9388511215118501
71,Race to Space,2002,366551,611,3.1800327332242224,1.0457586376524803
72,The Iron Ladies 2,2004,367162,191,2.612565445026178,1.156203035965844
