,title,releaseyear,count,avg,std,idxstart,idxstop
9989,Miss Congeniality,2000,232944,3.361267085651487,1.111658414542348,56081688,56314631
9665,Independence Day,1996,216596,3.7242377513896834,1.0391156738537872,54623082,54839677
15511,The Patriot,2000,200832,3.7838541666666665,1.096952995876982,87540760,87741591
13190,The Day After Tomorrow,2004,196397,3.4421656135277017,1.0993007486516422,74449890,74646286
5860,Pirates of the Caribbean: The Curse of the Black Pearl,2003,193941,4.153907631702425,0.9071013032772244,33609194,33803134
10859,Pretty Woman,1990,193295,3.9050466902920413,1.0280155093153749,61575069,61768363
3216,Forrest Gump,1994,181508,4.299909645855831,0.9037893408613564,18512678,18694185
4507,The Green Mile,1999,181426,4.30694057081124,0.8579650218189373,26033817,26215242
2735,Con Air,1997,178068,3.4544106745737584,1.0604600303531178,15651318,15829385
10819,Twister,1996,177556,3.411870057897227,1.064395611449597,61299271,61476826
5824,Sweet Home Alabama,2002,176539,3.538589206917452,1.0768610229390674,33273897,33450435
623,Pearl Harbor,2001,173596,3.3979699993087404,1.199427664815956,3888718,4062313
12153,Armageddon,1998,171991,3.583065392956608,1.1198326351531651,68349613,68521603
1235,The Rock,1996,164792,3.770729161609786,0.9985173033489542,7634233,7799024
14273,What Women Want,2000,162597,3.425321500396686,1.068611461561522,80141397,80303993
10658,Bruce Almighty,2003,160454,3.4345170578483555,0.9996929200777442,60187380,60347833
9635,Ocean's Eleven,2001,160326,3.8931614335790825,0.9044276424356908,54285145,54445470
9647,The Bourne Identity,2002,158601,3.9734554006595166,0.8450192815845232,54453040,54611640
17434,The Italian Job,2003,156183,3.755363900040338,0.9238393869066159,98846757,99002939
3141,"I, Robot",2004,155714,3.7164609476347663,0.9798516978744244,17889763,18045476
4332,American Beauty,1999,154832,3.962585253694327,1.052015540605994,24947431,25102262
14337,How to Lose a Guy in 10 Days,2003,154640,3.551875323331609,1.0857917458904491,80719652,80874291
7793,Lethal Weapon 4,1998,154348,3.5267641951952733,1.0766983199702276,45212072,45366419
5958,Shrek 2,2004,153996,4.144542715395205,0.9061869177218592,34330277,34484272
8656,Lost in Translation,2003,152406,3.372196632678504,1.2754454356616372,49824768,49977173
7752,Top Gun,1986,152085,3.8276555873360287,0.9833063680014328,44844691,44996775
15355,Pulp Fiction,1994,152078,4.094234537539947,1.080361430562965,86737057,86889134
17118,Gone in 60 Seconds,2000,151847,3.4751624990944827,1.1163637941874751,96750364,96902210
17371,The Sixth Sense,1999,151292,4.325245221161727,0.8009899323050937,98088260,98239551
17515,Lord of the Rings: The Two Towers,2002,151245,4.460676385996232,0.8618146775088109,99163376,99314620
4439,Men of Honor,2000,151031,3.8085359959213667,1.0261281766880788,25658618,25809648
5363,Gladiator,2000,150592,4.202713291542711,0.915737715779389,30588247,30738838
8244,Lord of the Rings: The Fellowship of the Ring,2001,149866,4.43470833944991,0.8950119601446558,47858523,48008388
12032,Sister Act,1992,148146,3.2097795418033566,1.1648638792205792,67520866,67669011
6801,Double Jeopardy,1999,147661,3.6395866207055354,0.9981533947710368,39241282,39388942
8727,Two Weeks Notice,2002,147313,3.363437035427966,1.0068056501549691,50313645,50460957
1323,The Royal Tenenbaums,2001,147251,3.2798351114763227,1.2868921468630483,8287677,8434927
6459,Troy,2004,147236,3.615990654459507,1.1094266347893318,37150307,37297542
1052,National Treasure,2004,145540,3.808684897622647,1.0237089869376068,6423137,6568676
3938,50 First Dates,2004,145519,3.750568654265079,1.00239678152334,22714432,22859950
11858,Indiana Jones and the Last Crusade,1989,144320,4.333190133037694,0.8227983256497307,66716182,66860501
14913,My Big Fat Greek Wedding,2002,143697,3.7505445485987883,0.9939447276156176,84342256,84485952
13327,Mystic River,2003,143682,3.861750254033212,0.9326874144951448,75188678,75332359
8565,Titanic,1997,143668,3.7098449202327584,1.1329740870529674,49348729,49492396
4851,Dirty Dancing,1987,141442,3.7025353148286935,1.1179263896133196,27810290,27951731
2057,Catch Me If You Can,2002,141073,3.7931212918134585,0.8448640741923815,12019972,12161044
12702,Finding Nemo (Widescreen),2003,140979,4.41552287929408,0.7766418725938448,71115283,71256261
7630,The Matrix,1999,140763,4.230642995673579,0.9577653810517882,44046785,44187547
10046,Kill Bill: Vol. 1,2003,140564,3.7591915426424976,1.16535077062298,56670290,56810853
11292,The Wedding Planner,2001,140154,3.1837264723090315,1.1227355652443114,63904537,64044690
14421,The Shawshank Redemption: Special Edition,1994,139660,4.593383932407275,0.6778289948867711,81556466,81696125
6201,The Last Samurai,2003,139428,3.9465960926069372,0.9492998316163896,35959966,36099393
486,John Q,2001,139247,3.634835939014844,1.0732510500236403,3058699,3197945
15797,Swordfish,2001,139158,3.347224018741287,1.0992494608792944,89682953,89822110
14795,The Fugitive,1993,138193,4.083057752563444,0.8122135739258193,83510231,83648423
9228,The Bourne Supremacy,2004,137170,3.909958445724284,0.8803166070189083,52329298,52466467
377,The Terminal,2004,136919,3.5796273709273367,0.9930616687511938,2446692,2583610
14945,Men in Black II,2002,136850,3.3347314578005114,1.0447377449162618,84741223,84878072
14394,Spider-Man 2,2004,136461,3.905767948351544,0.9401571919620824,81351516,81487976
13633,Braveheart,1995,135601,4.294422607502894,0.9044084666281612,76989867,77125467
15177,Men in Black,1997,135449,3.7857200865270317,0.9458019943789664,85963338,86098786
15419,Ghost,1990,135431,3.6492457413738366,1.0659975445485357,86999812,87135242
1441,Air Force One,1997,135013,3.7094205743150663,0.9570327643265996,8900512,9035524
16462,Lord of the Rings: The Return of the King,2003,134284,4.5451207887760265,0.8058609014437254,93391391,93525674
8134,Man on Fire,2004,134241,4.010235323038416,0.908578468142402,47303490,47437730
536,The Incredibles,2004,133457,4.3088710221269775,0.8333987692560837,3268767,3402223
4098,Mr. Deeds,2002,132358,3.2915577449039723,1.1073030150963823,23368892,23501249
11629,Collateral,2004,132237,3.679424064369276,0.8898692124141451,65660166,65792402
15771,Spider-Man,2002,132142,3.871517004434623,0.909716484146647,89327751,89459892
707,Saving Private Ryan,1998,131175,4.295086716218791,0.8602692297278601,4815016,4946190
3500,Erin Brockovich,2000,130782,3.813452921655885,0.9324979723603688,20408171,20538952
14364,"Monsters, Inc.",2001,130243,4.2840536535552785,0.8134936077171594,81054637,81184879
15539,Shrek (Full-screen),2001,128493,4.341956371164188,0.8177432166440016,87825038,87953530
7552,The Silence of the Lambs,1991,128446,4.311687401709668,0.8164485617565337,43495169,43623614
8080,Memento,2000,127318,3.8514271352047635,1.104221878007587,46870855,46998172
6056,Tomb Raider,2001,127073,3.219188970119537,1.1316507466575834,34897763,35024835
2087,Ferris Bueller's Day Off,1986,126816,4.06614307342922,0.9024509267628248,12237398,12364213
12788,Maid in Manhattan,2002,125878,3.1451246444970526,1.1232562887474005,71888657,72014534
7634,Entrapment,1999,125479,3.3823189537691567,1.017518875452563,44195879,44321357
7253,Meet the Parents,2000,124158,3.78986452745695,0.9969490884642529,41728632,41852789
2137,Dodgeball: A True Underdog Story,2004,122795,3.3738507268211246,1.0680217718670306,12514864,12637658
6170,Rain Man,1988,122158,4.1252803745968345,0.8243394898055292,35687130,35809287
14870,Patch Adams,1998,121769,3.4506237219653606,1.1401958628632274,83942066,84063834
6759,Big Fish,2003,121761,3.686352773055412,1.0065847560642334,38892265,39014025
17380,Fight Club,1999,121669,4.030048738791311,1.0688829502119122,98362044,98483712
15944,S.W.A.T.,2003,121207,3.3109556378757,1.071510935689664,90673289,90794495
2558,Good Will Hunting,1997,120697,4.164419993868944,0.8444478471246312,14550995,14671691
193,A Few Good Men,1992,119812,4.018837845958669,0.8667358036569321,1138146,1257957
16980,Enemy of the State,1998,119653,3.770578255455359,0.9169464638324936,96263464,96383116
14016,The General's Daughter,1999,118884,3.3597203997173715,1.058314342664516,78694155,78813038
3125,Minority Report,2002,118880,3.5877775908479137,0.9070163585215484,17649383,17768262
10463,Something's Gotta Give,2003,118413,3.7618420274800903,0.9387368015986172,59104642,59223054
11159,Raiders of the Lost Ark,1981,118212,4.504035123337731,0.7135322736005445,63010464,63128675
8423,Anger Management,2003,117314,3.13614743338391,1.039633687943784,48713035,48830348
5102,Sideways,2004,117270,3.434723288138484,1.1318463706677353,29151136,29268405
10571,American Pie,1999,116767,3.7400121609701364,1.0668047187526208,59760367,59877133
683,Kill Bill: Vol. 2,2004,116762,3.8743855021325433,1.084366231418039,4519965,4636726
17196,The Fast and the Furious,2001,116716,3.2504969327255897,1.1790624794553604,97175268,97291983
14112,The School of Rock,2003,116609,3.5493486780608703,0.9645246976941428,79339342,79455950
7960,Napoleon Dynamite,2004,116362,3.3983001323456112,1.3025004074374251,46307218,46423579
8136,The Notebook,2004,115990,4.194361582895077,0.9823264176184221,47440373,47556362
10121,Cold Mountain,2003,115585,3.7209672535363594,0.9771301706234666,57101002,57216586
7299,Sleepless in Seattle,1993,114997,3.7589676252423976,0.998808235457953,42086669,42201665
13040,Bringing Down the House,2003,114327,3.2105976715911377,1.1020050550314306,73587874,73702200
16144,Big,1988,114043,3.892444078110888,0.8872136142738255,91699066,91813108
7594,Jurassic Park,1993,113838,3.825242889017727,0.9398603979954054,43741314,43855151
246,Chicago,2002,113717,3.5942647097619536,1.1313592664151588,1461586,1575302
1068,The Recruit,2003,113674,3.536982951246547,0.9561116263422615,6619009,6732682
3787,Lethal Weapon,1987,113377,3.971316933769636,0.8937816538637945,21895134,22008510
17201,Seabiscuit,2003,113084,3.9741431148526765,0.9011702196254292,97296165,97409248
7023,The League of Extraordinary Gentlemen,2003,111946,3.044342808139638,1.1252867130300734,40715435,40827380
15671,Harry Potter and the Chamber of Secrets,2002,111411,4.045148145156223,0.9499266666511732,88513840,88625250
2945,You've Got Mail,1998,110438,3.46091019395498,1.076800347622022,16727141,16837578
15706,Legally Blonde,2001,110363,3.5339651876081657,0.9925167459499614,88756726,88867088
10411,Eternal Sunshine of the Spotless Mind,2004,110159,3.695304060494376,1.1992694726180342,58601421,58711579
16667,Ocean's Twelve,2004,109917,3.1758508692922836,1.0473126573327516,94576423,94686339
257,Hitch,2005,109610,3.8808411641273612,0.9353359105800124,1587042,1696651
14193,The Butterfly Effect: Director's Cut,2004,109385,3.688769026831833,1.0570958739386036,79835978,79945362
152,A Beautiful Mind,2001,108771,3.974818655707864,0.8892379414531746,757313,866083
16005,Ray,2004,108606,4.18601182255124,0.8590529783437747,91014820,91123425
11817,Die Hard,1988,108528,4.016484225269055,0.8909234316393839,66493558,66602085
12239,The Aviator,2004,108354,3.5416412868929616,0.9754570518796944,68984391,69092744
4242,The Usual Suspects,1995,108343,4.371846819822231,0.8292485561641312,24287619,24395961
7596,Finding Neverland,2004,107443,3.9924890407006495,0.9693176431272612,43855423,43962865
5977,Meet the Fockers,2004,107345,3.6011365224276863,1.052474184139216,34547742,34655086
2624,Runaway Bride,1999,107111,3.2910625425959985,1.0562497382512157,15037679,15144789
5516,The Manchurian Candidate,2004,107094,3.527377817618168,0.9286115161093432,31707156,31814249
4300,Anchorman: The Legend of Ron Burgundy,2004,107083,2.9250394553757366,1.215701879613741,24559513,24666595
1747,The Matrix: Reloaded,2003,106807,3.5147040924283988,1.1083360438760672,10572812,10679618
5514,The Godfather,1972,106327,4.504490863092159,0.7887306509177257,31583424,31689750
6326,Steel Magnolias,1989,106291,3.857711377256776,1.084998284833471,36590592,36696882
14489,Father of the Bride,1991,106285,3.5744554734910854,0.976999671830744,82261057,82367341
13016,Harry Potter and the Sorcerer's Stone,2001,106238,4.091709181272239,0.9543382386433732,73360937,73467174
1192,Big Daddy,1999,106211,3.4865126964250406,1.065169097918075,7378360,7484570
5488,Road to Perdition,2002,106020,3.6734012450481033,0.8999003880769272,31355863,31461882
1766,Master and Commander: The Far Side of the World,2003,105861,3.5461879256761226,0.986391636185724,10813405,10919265
6620,Being John Malkovich,1999,105697,3.6895938389925913,1.1328029468851537,38183097,38288793
14888,13 Going on 30,2004,105518,3.5624253681836278,0.9979238104293758,84113891,84219408
4708,The Stepford Wives,2004,105045,2.798048455423866,1.001392718269971,27229851,27334895
5174,Along Came a Spider,2001,104800,3.646641221374046,0.9978814281067367,29685340,29790139
2026,The Sum of All Fears,2002,104632,3.453398577872926,0.9750439943028328,11757635,11862266
2609,Mean Girls,2004,104362,3.514344301565704,0.9498604026410588,14862488,14966849
4329,Ghostbusters,1984,104031,3.8390960386807778,0.8991906816855592,24842241,24946271
5894,Mission: Impossible,1996,103652,3.5257303284065915,0.9358519472194194,33846257,33949908
4418,Indiana Jones and the Temple of Doom,1984,103431,4.145942705765196,0.9028470214350746,25401221,25504651
13813,Fahrenheit 9/11,2004,103105,3.5931332137141747,1.3236093066231094,77893667,77996771
659,Phone Booth,2003,103074,3.1039544404990584,0.9988405883847716,4316717,4419790
1526,Million Dollar Baby,2004,102861,4.164853540214464,0.9124132928238734,9434690,9537550
